Row Labels,Feeding habits,,,,,,,
Apostlebird,insectivore,,,,,,,
Australian magpie,insectivore,,,,,,,
Australian raven,carnivore,,,,,,,
Australian ringneck,omnivore,,,,,,,
Bar-shouldered dove,granivore,,,,,,,
Black brested buzzard,carnivore,,,,,,,
Black fronted dotterel,insectivore,,,,,,,
Black honeyeater,nectarivore/insectivorous,,,,,,,
Black-faced cuckoo-shriek,insectivore,,,,,,,
Bourkes parrot,no,,,,,,,
Brolga,omnivore,,,,,,,
Brown honeyeater,nectarivore/insectivorous,,,,,,,
Brown treecreeper,insectivore,,,,,,,
Brush cuckoo,insectivore,,,,,,,
Budgerigar,granivore,,,,,,,
Chestnut rumped thornbill,insectivore,,,,,,,
Cockatiel,granivore/frugivore,,,,,,,
Crested bellbird,insectivore,,,,,,,
Crimson chat,insectivore,,,,,,,
Fan-tailed cuckoo,insectivore,,,,,,,
Galah,granivore,,,,,,,
Grey butcherbird,carnivore/omnivore,,,,,,,
Grey crowned babbler,insectivore,,,,,,,
Grey fantail,insectivore,,,,,,,
Grey shrike thrush,insectivore/carnivore,,,,,,,
Grey teal,omnivore,,,,,,,
Horsfields bronze cuckoo,insectivore,,,,,,,
Jacky winter,insectivore,,,,,,,
Kookaburra,insectivore/carnivore,,,,,,,
Little friarbird,no,,,,,,,
Magpie-lark,insectivore,,,,,,,
Major Mitchells cockatoo,omnivore,,,,,,,
Masked woodswallow,insectivore,,,,,,,
Mistletoebird,frugivore,,,,,,,
Mulga parrot,omnivore,,,,,,,
Noisy friarbird,omnivore,,,,,,,
Pallid cuckoo,insectivore,,,,,,,
Peaceful dove,granivore/insectivore,,,,,,,
Red-capped robin,insectivore,,,,,,,
Red winged parrot,omnivore,,,,,,,
Restless flycatcher,insectivore,,,,,,,
Rufous songlark,insectivore,,,,,,,
Rufous whistler,insectivore,,,,,,,
Singing honeyeater,insectivore,,,,,,,
Spiny cheeked honeyeater,nectarivore/omnivore,,,,,,,
Splendid fairywren,insectivore,,,,,,,
Striped honeyeater,omnivore,,,,,,,
Tree martin,insectivore,,,,,,,
Whistling kite,carnivore,,,,,,,
White plumed honeyeater,omnivore,,,,,,,
White winged chough,insectivore/granivore,,,,,,,
White winged triller,insectivore/omnivore,,,,,,,
Willie wagtail,insectivore,,,,,,,
Yellow rumped thornbill,insectivore/granivore,,,,,,,
Yellow throated miner,omnivore,,,,,,,
diamond dove,insectivore,,,,,,,
hall's babbler,insectivore/carnivore,,,,,,,
pied butcherbird,carnivore,,,,,,,
crested pigeon,insectivore,,,,,,,
white browed treecreeper,insectivore,,,,,,,
red browed pardalote,insectivore,,,,,,,
rainbow bee eater,insectivore,,,,,,,
spotted bowerbird,frugivore/omnivore,,,,,,,
white winged fairy wren,insectivore,,,,,,,
western gerygone,insectivore,,,,,,,
black faced cuckoo shrike,insectivore,,,,,,,
striated pardalote,insectivore,,,,,,,
black eared cuckoo,insectivore,,,,,,,
welcome swallow,insectivore,,,,,,,
spotted nightjar,insectivore,,,,,,,
yellow thornbill,insectivore/granivore,,,,,,,
red rumped parrot,granivore,,,,,,,
shining bronze cuckoo,insectivore,,,,,,,
little crow,omnivore,,,,,,,
laughing kookaburra,insectivore/carnivore,,,,,,,
sacred kingfisher,carnivore,,,,,,,
double barred finch,granivore/insectivore,,,,,,,
sulphur crested cockatoo,granivore,,,,,,,
